id,average_rating
6333213,4.1748676
493553,4.1366243
25574766,4.068388
133411,4.075139
64279,4.2671366
613727,4.0144825
36260386,3.9168222
12221730,3.9626443
29954513,4.029108
9505358,3.9745355
32193050,3.9385166
22567177,4.0304527
37976541,3.9133961
29983711,3.9923859
449913,4.018958
16401102,3.978865
24899667,3.9630377
204123,4.0377455
852922,4.2155876
481446,4.06808
114179,4.0101337
35961572,4.0729375
210747,3.9961069
359810,3.9827554
793298,4.011799
6076459,4.0190706
7736086,3.9330635
101648,3.968382
52775419,3.9197547
17409259,4.0014358
25448813,3.949465
80616,4.0585046
23221,3.9401305
186937,4.0337877
43398498,4.2205706
20311827,4.0497255
394729,4.150577
9439989,4.0420933
177945,4.0747843
129650,4.1725006
29996159,4.0014358
32187419,3.884707
9538660,4.005337
5947,3.9759817
23948120,4.0669274
6318426,3.979239
17829928,3.9626443
4776314,4.2848444
16128338,4.061241
23931668,4.0314093
114550,4.068338
17412272,4.090614
35098412,4.0887556
18776164,3.9019797
20262017,4.011799
364089,4.106345
2573331,4.123243
566850,3.9168222
895886,3.9176686
10519,3.965164
196924,3.986233
2372,4.1555786
605878,3.9338617
24889275,4.0500283
402,3.9082649
6684540,3.9734344
35414,4.0185747
6949634,3.973322
5280062,4.034116
7011879,4.047081
10637748,4.0027943
501909,4.0128717
24477484,3.9626443
12630405,3.9938233
80113,4.0144825
11928859,4.307235
17331828,4.129328
102440,3.9938233
224244,4.0505695
13260217,3.9606526
6315602,4.0143566
43840632,3.9168222
4035,4.1550107
6671719,4.090614
18589656,4.2155876
459820,4.0483227
8762337,3.9612901
6609769,3.988098
13072125,4.01505
16152916,4.0395517
41667,4.045061
29718,3.9880116
5995681,3.9734344
2905549,3.9549594
1527414,4.017311
10346185,4.0374765
11100788,3.7562232
44547834,3.9626443
34317524,4.1573267
272773,4.022763
167845,3.9519873
352727,4.01775
965170,3.9988837
8573409,4.064288
97380,4.1123724
10567183,4.028261
14384,4.088462
17396350,3.9168222
179681,4.033016
12106826,3.9626443
34776051,4.2869163
19057,3.7958736
13022577,4.2596073
20582,3.9977367
18384116,4.0123453
349562,4.0382924
929783,3.9324625
12262889,3.9385166
6439991,4.027784
10441,3.992121
721003,4.0134
1298130,3.9072158
338551,4.0555267
7164005,3.9224052
6639763,4.0637045
9296389,3.953264
3488337,3.9196799
422463,3.9719162
12144652,4.033367
9915450,4.010369
36482829,4.0056133
228064,4.0615416
218467,4.034544
560929,3.9513104
22593592,4.0080585
57412,3.9753656
9476583,4.1417313
22740704,3.9626443
9809,3.7562618
21936988,3.9977334
485129,4.039247
23297931,4.01505
9518460,3.9626443
1506342,3.9626443
1258620,3.9614844
2403889,4.006287
6648595,4.162805
6345760,3.9482012
11515298,3.9385166
17283481,3.967368
6056474,4.049959
25100,4.0285864
809403,3.8822227
7907267,4.1507707
744981,4.0539474
25992990,3.8751702
7911363,4.075444
9667957,4.056855
18219567,3.9326236
23270403,4.000041
17707599,3.953017
34871,3.9354427
23472563,3.913203
6693329,3.9910884
1556485,3.9719162
7756979,3.9896522
7094635,4.050079
260941,3.8980591
23544764,3.9658554
20739284,3.9897695
31804439,3.9734344
25516432,3.8807344
274138,4.011799
6572004,3.9982479
20883450,4.048402
2348340,4.090614
5962048,3.9196799
164760,3.8751702
857445,4.2347608
5978004,4.0527534
1421759,4.0617948
16075538,4.1123724
9606839,4.010311
30198696,4.0014358
24766,3.9965432
783127,4.0448065
175004,4.01505
38227140,3.940984
5830358,4.082961
23367261,4.0079412
5843145,3.977255
23001,3.9801524
372623,3.9401305
21857325,4.0267754
2502336,4.0144825
12369685,4.034116
4136,3.9880116
23393898,4.039996
1262999,4.1709394
25884,4.01505
9641072,3.9606526
27917957,3.9649918
9526993,4.0227976
727664,3.9612901
8088,3.9478247
17404772,4.0014358
1223054,4.021205
351198,4.202035
34568988,3.9270039
25547096,4.0458536
17262203,4.031351
41899,4.034116
17560038,4.045285
747252,4.1572833
23476097,4.284646
11333985,3.8246078
10773791,4.1030207
272315,3.8680573
16247475,4.0306134
11899417,4.1600785
10279729,3.9964733
33146881,3.887188
161156,3.9417584
24611,3.9401305
120566,3.9338617
348623,3.9734344
615921,4.0234346
5486,4.2026777
820591,3.9734344
3347892,4.0444593
590210,4.01505
20830845,3.9816897
5937,4.2205706
9625608,4.082879
11849067,4.0443554
7904158,3.8950326
151691,3.9416225
44017627,4.088462
8709527,4.0366306
135444,3.973322
17603,4.0294333
583924,4.010311
1591,4.010744
58384,3.8751702
28634,3.951688
1215358,4.0101337
64410,3.986117
70488,4.034116
21403405,3.9626443
15990986,4.0253477
35613634,4.0539474
13148921,4.067195
415028,3.9719162
59647,3.992121
53404,4.099783
17829483,3.884707
13601922,3.9933417
30780406,4.0557528
52655318,4.1552305
53135268,4.0337877
18081232,3.9394588
17262366,3.9707909
67938,4.042696
315039,4.0304565
25657509,3.8646958
25661187,4.1686234
30311774,4.369235
30256105,4.005598
13206760,4.089843
687062,3.8822227
35162183,4.0267754
13031238,4.032975
43334,3.9558344
15044,3.949465
17872170,4.178236
19475852,3.9606526
533327,3.9916954
40545688,4.0596275
4469138,4.017969
298461,3.9799252
5267365,4.006061
6261078,3.7557006
8735747,3.9168222
32234,3.9658554
35488,3.9418342
14201,4.1296654
13451196,4.014372
15698746,4.1011353
48912185,3.9734344
171471,4.0551915
13511036,4.004361
68631,4.1123724
10714906,4.007862
152435,4.0432158
22698031,4.3878
6979760,4.002573
3676748,3.9734344
1465117,3.9168222
41704,4.169092
54596,4.0337877
26802440,4.0228148
1161359,4.027784
13321375,4.015512
345474,3.993373
16069859,3.965164
11800695,4.011799
25901949,3.9374478
1678745,4.033016
3992020,4.012105
6617037,3.958332
11367731,4.0143566
17607850,3.9684138
6622256,4.095508
789497,3.964872
17697959,3.9938233
34467031,4.020453
55022,4.016602
31795,4.145644
11019938,3.9805727
23258935,4.012105
19447,4.0151825
18656310,3.9624157
13818372,4.1225343
1542405,4.002573
6880871,4.0294333
15774718,3.9852445
10913887,3.9897695
40640622,4.0896683
7796549,3.992121
7923163,3.9895322
1839075,4.0185747
1111741,3.9965432
33784373,4.0480213
246084,3.9964733
863687,3.9762218
10259337,3.9402606
57778,3.9626443
2598001,4.0483227
15840340,4.001502
183660,3.967368
14760825,3.914822
7663506,3.9734344
97412,4.030184
15832,4.041771
712820,4.017311
17286692,3.9734344
10813480,4.1148868
18490532,4.006061
24396856,3.9982479
231916,4.1366243
30375777,3.9135833
33600,4.182292
53809,4.0144825
24268361,3.9168222
18246262,4.01505
10671152,4.082961
24281477,3.9949703
552344,4.022763
12812550,4.2412353
763489,3.9988837
111220,4.1054935
15734769,4.0321436
10002866,4.1580243
17259227,3.940984
31157,4.0483227
15713473,4.064288
6811150,4.011799
18668059,3.9482012
39341080,4.0338445
43708,4.0448065
2985500,4.161948
6150990,4.0009327
24899046,4.1493864
8421720,3.921242
16060302,4.0337877
6597855,4.0101337
7952502,3.978399
7231,3.9559715
140360,3.988098
15843286,4.1355247
29492022,3.992121
45242,4.1709394
31428970,4.0234346
10508714,3.9964733
27000,4.045933
226004,4.0543613
24131400,3.9670134
28319471,3.9606526
288958,3.9606526
18692432,3.8822227
1746329,3.9753656
141834,4.1415186
3086160,4.0587
1225261,4.004503
11797636,4.0423174
19534,4.115509
804579,3.9949703
559625,3.9939754
140091,4.0494776
292367,3.9168222
855704,3.9536731
1576915,3.8822227
750129,4.0578904
27273806,3.9346216
20517362,3.9400148
2111634,4.169092
11609409,4.222253
17668976,4.012105
8431510,3.9626443
10428803,4.0671363
22980201,4.0157256
4769651,3.977255
197743,3.9893038
6566722,4.0196657
30830742,4.0080585
36348348,4.1573267
3071808,4.024234
2590136,3.8401163
17334062,4.204702
335459,3.9612901
540187,4.1634345
1556130,4.013357
12924312,4.005337
12285174,4.1417313
6951263,4.0584607
750693,4.039442
36690518,3.900413
22014031,4.0054
98783,3.9805727
9473008,4.2347608
16793,3.9158018
10832326,4.0585046
9753375,4.005337
23171368,4.0190706
669,3.9057126
529126,3.8822227
13078860,3.9626443
782898,4.145644
25,3.9385166
13578340,4.009643
23966802,4.0749974
12736986,4.0371904
768496,3.849187
33283628,3.977255
20483059,4.033016
29742514,3.9626443
12696963,4.143011
6376575,4.0014358
25668685,4.0585585
1022794,4.024751
10815,3.9401305
11069481,4.045697
297684,4.0144825
16135735,3.931331
